date,course
2020-09-25,10315.62
2020-09-26,10315.62
2020-09-27,10315.62
2020-09-28,10315.62
2020-09-29,10321.21
2020-10-06,10339.68
2020-10-13,10364.48
2020-10-20,10371.76
2020-10-27,10359.88
2020-11-03,10366.86
2020-11-10,10378.88
2020-11-17,10390.93
2020-11-24,10414.86
2020-12-01,10427.38
2020-12-08,10443.07
2020-12-15,10463.12
2020-12-22,10473.77
2020-12-29,10476.92
2021-01-05,10449.44
2021-01-12,10473.2
2021-01-19,10500.81
2021-01-26,10518.99
2021-02-02,10540.44
2021-02-09,10530.83
2021-02-16,10540.09
2021-02-17,10527.18
2021-02-18,10521.48
2021-02-19,10514.58
2021-02-22,10532.27
2021-02-23,10549.65
2021-02-24,10542.46
2021-02-25,10554.34
2021-02-26,10538.53
2021-03-01,10525.5
2021-03-02,10517.12
2021-03-03,10500.03
2021-03-04,10487.54
2021-03-05,10477.86
2021-03-09,10490.65
2021-03-10,10497.47
2021-03-11,10503.92
2021-03-12,10513.56
2021-03-15,10518.91
2021-03-16,10528.59
2021-03-17,10536
2021-03-18,10523.63
2021-03-19,10513.97
2021-03-23,10505.92
2021-03-24,10496.2
2021-03-25,10507.68
2021-03-26,10490.34
2021-03-27,10510
2021-03-29,10502
2021-03-30,10486.46
2021-03-31,10474.98
2021-04-01,10485.66
2021-04-02,10472.51
2021-04-05,10472.67
2021-04-06,10482.97
2021-04-07,10468.06
2021-04-08,10479.24
2021-04-09,10473.07
2021-04-12,10477.92
2021-04-13,10475.41
2021-04-14,10492.36
2021-04-15,10496.99
2021-04-16,10507.46
